f_max,n_eff
191363598730471.88,1.5711765257562695
191373752463499.94,1.5659282161916779
191363598730471.88,1.5777730334422428
191353444997443.78,1.563514332364321
191353444997443.78,1.5633299141671355
191363598730471.88,1.563756096466916
191454982327724.62,1.5623463903031334
191434674861668.47,1.562153599056258
191282368866247.16,1.5689729173500717
191444828594696.56,1.5675631606629297
191353444997443.78,1.5603678364164602
191343291264415.7,1.5793762761105954
191343291264415.7,1.5664794906975625
191465136060752.72,1.5641121093350974
191302676332303.34,1.5665627222502465
191353444997443.78,1.5737487608750687
191394059929556.12,1.561406390327226
191454982327724.62,1.5633850334793542
191353444997443.78,1.5610287055008047
191353444997443.78,1.5604079127680277
191363598730471.88,1.5657363659756505
191363598730471.88,1.562353275332966
191454982327724.62,1.5642901224733925
191302676332303.34,1.5615495039303533
191353444997443.78,1.563730342782937
191302676332303.34,1.5623397423936882
191454982327724.62,1.567693243702086
191454982327724.62,1.5680208252216248
191302676332303.34,1.574185391276608
191373752463499.94,1.5729325735120276
191363598730471.88,1.5621833784788346
191363598730471.88,1.5697977045064448
191454982327724.62,1.5623336708572113
191353444997443.78,1.561831907031524
191363598730471.88,1.5608382686941529
191353444997443.78,1.5602393464982032
191373752463499.94,1.5610474568700794
191353444997443.78,1.5642439675560906
191454982327724.62,1.5614307017708267
191373752463499.94,1.5630102083660082
191373752463499.94,1.5737258671244916
191434674861668.47,1.5606249834990047
191353444997443.78,1.5609137232107921
191404213662584.22,1.5614424177639268
191302676332303.34,1.563412488036935
191353444997443.78,1.5640539676943415
191434674861668.47,1.5600892594833558
191302676332303.34,1.5640028498789094
191353444997443.78,1.5639994906481995
191302676332303.34,1.5636426253087923
191363598730471.88,1.562600641580506
191363598730471.88,1.5613050943472266
191302676332303.34,1.5716087694677265
191353444997443.78,1.5604771254086178
191353444997443.78,1.5608033178857217
191302676332303.34,1.563776620809146
191454982327724.62,1.569215114249261
191373752463499.94,1.5609087114134461
191302676332303.34,1.5627810342415192
191302676332303.34,1.5714872802140727
191363598730471.88,1.5618438080253074
191373752463499.94,1.569606366060527
191454982327724.62,1.5600891349483024
191373752463499.94,1.5706575052118672
191363598730471.88,1.5712188325287506
191363598730471.88,1.5605979349707986
191373752463499.94,1.5609759075235776
191454982327724.62,1.5638086802878308
191353444997443.78,1.5611633352500816
191363598730471.88,1.5650392530623445
191373752463499.94,1.5697204431777267
191465136060752.72,1.560850971724064
191373752463499.94,1.5605972875807779
191363598730471.88,1.5714243385132816
191353444997443.78,1.5683042936263238
191353444997443.78,1.5733390666960914
191363598730471.88,1.5710958191691888
191465136060752.72,1.5624123682641398
191454982327724.62,1.5650344332080115
191353444997443.78,1.5652591607069402
191363598730471.88,1.5702073769470908
191363598730471.88,1.561927082041853
191353444997443.78,1.5655342251366402
191373752463499.94,1.5618254583445235
191302676332303.34,1.5711889168999522
191302676332303.34,1.570670019324833
191373752463499.94,1.5617152879779128
191373752463499.94,1.5645355154174112
191373752463499.94,1.5658403701141472
191373752463499.94,1.5700875661116502
191434674861668.47,1.5604733382298384
191353444997443.78,1.5730026039561904
191302676332303.34,1.560241149532318
191454982327724.62,1.563261632539092
191434674861668.47,1.5752938457462797
191434674861668.47,1.5690796257022295
191302676332303.34,1.5621753745799212
191282368866247.16,1.5650186253610956
191353444997443.78,1.56170978021087
191333137531387.6,1.5706276207073426
191353444997443.78,1.5645701600331945
191353444997443.78,1.571255654581037
191353444997443.78,1.5619107201351639
191465136060752.72,1.5623290268411003
191353444997443.78,1.5620346330884785
191353444997443.78,1.565181017403048
191302676332303.34,1.5786791537067975
191434674861668.47,1.5682752027843347
191353444997443.78,1.5650583324159375
